,cash,usd_value,positions_usd,long_exposure_usd,short_exposure_usd,gross_traded_usd,gross_traded_percent,net_traded_usd,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,realized_long_pnl,realized_short_pnl,gross_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,unrealized_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl,inception_return,previous_usd_value
2022-08-10 00:00:00,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000.0
2022-08-11 20:00:00,-8455.511293168642,9729.627402868882,18185.138696037524,23142.45553134297,-4957.316835305443,28441.29064784472,2.8441290647844717,18441.29064784472,1.844129064784472,-298.8351165017489,42.68316469455671,0.0,0.0,28099.772366648413,18185.138696037528,2.8099772366648414,2.314245553134297,-0.49573168353054436,1.8185138696037528,-256.15195180719223,0.0,-298.8351165017489,42.68316469455671,-256.15195180719223,0.9729627402868882,10000.0
2022-08-12 20:00:00,-8027.986480776938,9899.952631910211,17927.93911268715,23898.563050531193,-5970.6239378440405,7592.414070956394,0.7803396529570795,-431.78433511447855,-0.044378301165691345,248.08413278837193,-181.9072224089678,-168.40518283813807,20.1977567283478,29869.186988375233,17927.939112687152,3.069920948829756,2.4562670347977,-0.6136539140320563,1.8426131207656433,66.17691037940412,-148.20742610979028,79.67894995023386,-161.70946568062,-82.03051573038616,0.989995263191021,9729.627402868882
2022-08-15 20:00:00,-7920.743579587796,9532.561030748664,17453.30461033646,23771.057609063715,-6317.7529987272555,12388.134606508816,1.251332715126184,-114.75663750293461,-0.011591635007731561,220.92864950768455,-529.0362832921825,-154.85485684523445,20.197756728347798,30088.81060779097,17453.30461033646,3.039288340714544,2.4011284187808335,-0.6381599219337108,1.7629684968471226,-308.1076337844979,-134.65710011688665,66.0737926624501,-508.83852656383465,-442.76473390138455,0.9532561030748663,9899.952631910211
2022-08-16 20:00:00,-8152.718404169315,9500.51658926539,17653.234993434704,23108.677270273794,-5455.44227683909,14009.81370799662,1.4696799383508719,224.53590438069375,0.023554625420851804,-41.82809011581474,-8.264544982710216,-43.4397498692808,-372.95221455231336,28564.119547112885,17653.234993434704,2.996479063178841,2.4241835112026444,-0.5722955519761967,1.8518879592264474,-50.09263509852495,-416.39196442159414,-85.26783998509555,-381.2167595350236,-466.4845995201191,0.9500516589265389,9532.561030748664
2022-08-17 20:00:00,-8989.459720326577,9071.682758993615,18061.14247932019,21405.588899036637,-3344.446419716444,3850.9291545916485,0.4053389221953261,834.3691272838473,0.08782355353461505,-542.1462247784563,82.88441578696072,-89.81366852679815,-343.8834743494788,24750.03531875308,18061.14247932019,2.605125214634969,2.2530973655919677,-0.35202784904300105,1.9010695165489666,-459.2618089914955,-433.6971428762769,-631.9598933052544,-260.99905856251803,-892.9589518677724,0.9071682758993614,9500.51658926539
2022-08-18 20:00:00,-8989.952293461936,9345.372152652826,18335.324446114762,21549.756403426916,-3214.431957312158,0.0,0.0,-0.0,-0.0,-397.97872038817553,212.89887819124638,-89.85951736603964,-343.8834743494788,24764.188360739074,18335.32444611476,2.7298340361591675,2.3754971349789114,-0.35433690118025657,2.0211602337986547,-185.07984219692915,-433.74299171551843,-487.8382377542152,-130.9845961582324,-618.8228339124475,0.9345372152652826,9071.682758993615
2022-08-19 20:00:00,-8990.444893587606,8899.245850451836,17889.690744039443,21054.597682023617,-3164.906937984176,0.0,0.0,-0.0,-0.0,-893.1374417914744,262.42389751922843,-89.85954435634842,-343.8834743494788,24219.504620007792,17889.690744039443,2.591604082148052,2.2529437392225145,-0.3386603429255376,1.914283396296977,-630.713544272246,-433.7430187058272,-982.9969861478229,-81.45957683025034,-1064.4565629780732,0.8899245850451836,9345.372152652826
2022-08-22 20:00:00,-8991.922774939976,8344.787145661234,17336.70992060121,20474.8472233628,-3138.1373027615905,0.0,0.0,-0.0,-0.0,-1472.8879004522896,289.19353274181367,-90.84482558304984,-343.8834743494788,23612.984526124394,17336.70992060121,2.6533691644135784,2.30073958708796,-0.35262957732561795,1.9481100097623423,-1183.694367710476,-434.7282999325286,-1563.7327260353395,-54.689941607665105,-1618.4226676430046,0.8344787145661233,8899.245850451836
2022-08-23 20:00:00,-8992.415483037234,8458.515077212234,17450.930560249468,20586.092220031078,-3135.161659781609,0.0,0.0,-0.0,-0.0,-1361.6429037840198,292.1691757217953,-89.85965232793626,-343.8834743494788,23721.253879812688,17450.930560249468,2.842643373132202,2.4669403617723855,-0.375703011359816,2.0912373504125696,-1069.4737280622246,-433.74312667741503,-1451.502556111956,-51.71429862768349,-1503.2168547396395,0.8458515077212234,8344.787145661234
